.K-Outertainment Game System Loging [KGSL]
.Warcraft new generation
.Log in 2:08:10 PM Mon 9/12/2005
Loading file GameData\Images\Units\GundamBattleShip3.png from database complete
Loading file GameData\Images\Units\Arbiter\Arbiter0.Png from database complete
Loading file GameData\Images\Units\Arbiter\Arbiter1.Png from database complete
Loading file GameData\Images\Units\Arbiter\Arbiter2.Png from database complete
Loading file GameData\Images\Units\Arbiter\Arbiter3.Png from database complete
Loading file GameData\Images\Units\Arbiter\Arbiter4.Png from database complete
Loading file GameData\Images\Units\Carrier\Carrier0.Png from database complete
Loading file GameData\Images\Units\Carrier\Carrier1.Png from database complete
Loading file GameData\Images\Units\Carrier\Carrier2.Png from database complete
Loading file GameData\Images\Units\Carrier\Carrier3.Png from database complete
Loading file GameData\Images\Units\Carrier\Carrier4.Png from database complete
Loading file GameData\Images\Units\Intercept\Intercept0.png from database complete
Loading file GameData\Images\Units\Intercept\Intercept1.png from database complete
Loading file GameData\Images\Units\Intercept\Intercept2.png from database complete
Loading file GameData\Images\Units\Intercept\Intercept3.png from database complete
Loading file GameData\Images\Units\Intercept\Intercept4.png from database complete
Loading file GameData\Images\Units\Intercept\Intercept5.png from database complete
Loading file GameData\Images\Units\Intercept\Intercept6.png from database complete
Loading file GameData\Images\Units\Intercept\Intercept7.png from database complete
Loading file GameData\Images\Units\Intercept\Intercept8.png from database complete
Loading file GameData\Images\Units\Intercept\Intercept9.png from database complete
Loading file GameData\Images\Buildings\ConstructorLand.png from database complete
Loading file GameData\Images\Buildings\GoldMine.png from database complete
Loading file GameData\Images\Buildings\DarkPortal.png from database complete
Loading file GameData\Images\Buildings\HumanFarm.png from database complete
Loading file GameData\Images\Buildings\OrcFarm.png from database complete
Loading file GameData\Images\Buildings\TownHall.png from database complete
Loading file GameData\Images\Buildings\GreatHall.png from database complete
Loading file GameData\Images\Buildings\Keep.png from database complete
Loading file GameData\Images\Buildings\StrongHold.png from database complete
Loading file GameData\Images\Buildings\Castle.png from database complete
Loading file GameData\Images\Buildings\Fortress.png from database complete
Loading file GameData\Images\Buildings\HumanBarrack.png from database complete
Loading file GameData\Images\Buildings\OrcBarrack.png from database complete
Loading file GameData\Images\Buildings\HumanBlackSmith.png from database complete
Loading file GameData\Images\Buildings\OrcBlackSmith.png from database complete
Loading file GameData\Images\Buildings\ElvenLumberMill.png from database complete
Loading file GameData\Images\Buildings\TrollLumberMill.png from database complete
Loading file GameData\Images\Buildings\GnomishInventor.png from database complete
Loading file GameData\Images\Buildings\GoblinAlchemist.png from database complete
Loading file GameData\Images\Buildings\Stables.png from database complete
Loading file GameData\Images\Buildings\OgreMound.png from database complete
Loading file GameData\Images\Buildings\Church.png from database complete
Loading file GameData\Images\Buildings\AltarOfStorm.png from database complete
Loading file GameData\Images\Buildings\MageTower.png from database complete
Loading file GameData\Images\Buildings\TempleOfTheDamned.png from database complete
Loading file GameData\Images\Buildings\GryphonAviary.png from database complete
Loading file GameData\Images\Buildings\DragonRoost.png from database complete
Loading file GameData\Images\Buildings\HumanScoutTower.png from database complete
Loading file GameData\Images\Buildings\OrcWatchTower.png from database complete
Loading file GameData\Images\Buildings\HumanGuardTower.png from database complete
Loading file GameData\Images\Buildings\OrcGuardTower.png from database complete
Loading file GameData\Images\Buildings\HumanCannonTower.png from database complete
Loading file GameData\Images\Buildings\OrcCannonTower.png from database complete
Loading file GameData\Images\Buildings\AlienConstruction\A1.Png from database complete
Loading file GameData\Images\Buildings\AlienConstruction\A2.Png from database complete
Loading file GameData\Images\Buildings\AlienConstruction\A3.Png from database complete
Load unit animation done.
Loading file GameData\TerrainTextures\Barrens_Desert.png from database complete
Loading file GameData\TerrainTextures\LordS_DirtRough.png from database complete
Loading file GameData\TerrainTextures\LordS_Grass.png from database complete
Loading file GameData\TerrainTextures\LordS_GrassDark.png from database complete
Loading file GameData\TerrainTextures\Ashen_Rock.png from database complete
Loading file GameData\TerrainTextures\Lords_Blight.png from database complete
Loading file GameData\TerrainTextures\LordW_Snow.png from database complete
Loading file GameData\TerrainTextures\North_Snow.png from database complete
Loading file GameData\TerrainTextures\A_Water00.jpg from database complete
Loading file GameData\TerrainTextures\A_Water01.jpg from database complete
Loading file GameData\TerrainTextures\A_Water02.jpg from database complete
Loading file GameData\TerrainTextures\A_Water03.jpg from database complete
Loading file GameData\TerrainTextures\A_Water04.jpg from database complete
Loading file GameData\TerrainTextures\A_Water05.jpg from database complete
Loading file GameData\TerrainTextures\A_Water06.jpg from database complete
Loading file GameData\TerrainTextures\A_Water07.jpg from database complete
Loading file GameData\TerrainTextures\A_Water08.jpg from database complete
Loading file GameData\TerrainTextures\A_Water09.jpg from database complete
Loading file GameData\TerrainTextures\A_Water10.jpg from database complete
Loading file GameData\TerrainTextures\A_Water11.jpg from database complete
Loading file GameData\TerrainTextures\A_Water12.jpg from database complete
Loading file GameData\TerrainTextures\A_Water13.jpg from database complete
Loading file GameData\TerrainTextures\A_Water14.jpg from database complete
Loading file GameData\TerrainTextures\A_Water15.jpg from database complete
Loading file GameData\TerrainTextures\A_Water16.jpg from database complete
Loading file GameData\TerrainTextures\A_Water17.jpg from database complete
Loading file GameData\TerrainTextures\A_Water18.jpg from database complete
Loading file GameData\TerrainTextures\A_Water19.jpg from database complete
Loading file GameData\TerrainTextures\A_Water20.jpg from database complete
Loading file GameData\TerrainTextures\A_Water21.jpg from database complete
Loading file GameData\TerrainTextures\A_Water22.jpg from database complete
Loading file GameData\TerrainTextures\A_Water23.jpg from database complete
Loading file GameData\TerrainTextures\A_Water24.jpg from database complete
Loading file GameData\TerrainTextures\A_Water25.jpg from database complete
Loading file GameData\TerrainTextures\A_Water26.jpg from database complete
Loading file GameData\TerrainTextures\A_Water27.jpg from database complete
Loading file GameData\TerrainTextures\A_Water28.jpg from database complete
Loading file GameData\TerrainTextures\A_Water29.jpg from database complete
Loading file GameData\TerrainTextures\A_Water30.jpg from database complete
Loading file GameData\TerrainTextures\A_Water31.jpg from database complete
Loading file GameData\TerrainTextures\A_Water32.jpg from database complete
Loading file GameData\TerrainTextures\A_Water33.jpg from database complete
Loading file GameData\TerrainTextures\A_Water34.jpg from database complete
Loading file GameData\TerrainTextures\A_Water35.jpg from database complete
Loading file GameData\TerrainTextures\A_Water36.jpg from database complete
Loading file GameData\TerrainTextures\A_Water37.jpg from database complete
Loading file GameData\TerrainTextures\A_Water38.jpg from database complete
Loading file GameData\TerrainTextures\A_Water39.jpg from database complete
Loading file GameData\TerrainTextures\A_Water40.jpg from database complete
Loading file GameData\TerrainTextures\A_Water41.jpg from database complete
Loading file GameData\TerrainTextures\A_Water42.jpg from database complete
Loading file GameData\TerrainTextures\A_Water43.jpg from database complete
Loading file GameData\TerrainTextures\A_Water44.jpg from database complete
Setup script runtime engine successful.
Complete compile file GameData\Script\DefaultMeleScript.PSS, script loading successful.
Complete compile file GameData\Script\DefaultDemotranstion.PSS, script loading successful.
Start script runing.
Run script done.
.Log out
